month,month_name,code,type,value_musd,tonnes,cumulative_musd
01,Январь,5603139000,import,1.267,,1.267
01,Январь,5603149000,import,0.584,,0.584
01,Январь,5603139000,export,0.770,,0.770
01,Январь,5603149000,export,0.168,,0.168
01,Январь,ALL,import_total,1.851,,1.851
01,Январь,ALL,export_total,0.937,,0.937
01,Январь,ALL,balance,0.914,,0.914
02,Февраль,5603139000,import,1.367,,2.634
02,Февраль,5603149000,import,0.712,,1.295
02,Февраль,5603139000,export,0.675,,1.445
02,Февраль,5603149000,export,0.245,,0.413
02,Февраль,ALL,import_total,2.079,,3.930
02,Февраль,ALL,export_total,0.920,,1.857
02,Февраль,ALL,balance,1.159,,2.073
03,Март,5603139000,import,1.643,,4.277
03,Март,5603149000,import,1.353,,2.648
03,Март,5603139000,export,0.641,,2.086
03,Март,5603149000,export,0.282,,0.694
03,Март,ALL,import_total,2.996,,6.926
03,Март,ALL,export_total,0.923,,2.780
03,Март,ALL,balance,2.073,,4.146
04,Апрель,5603139000,import,1.418,,5.695
04,Апрель,5603149000,import,1.660,,4.309
04,Апрель,5603139000,export,0.655,,2.740
04,Апрель,5603149000,export,0.187,,0.881
04,Апрель,ALL,import_total,3.078,,10.004
04,Апрель,ALL,export_total,0.842,,3.622
04,Апрель,ALL,balance,2.236,,6.382
05,Май,5603139000,import,1.463,,7.158
05,Май,5603149000,import,1.831,,6.140
05,Май,5603139000,export,0.439,,3.179
05,Май,5603149000,export,0.130,,1.012
05,Май,ALL,import_total,3.294,,13.298
05,Май,ALL,export_total,0.569,,4.191
05,Май,ALL,balance,2.725,,9.107
06,Июнь,5603139000,import,2.299,,9.457
06,Июнь,5603149000,import,1.480,,7.620
06,Июнь,5603139000,export,0.471,,3.650
06,Июнь,5603149000,export,0.264,,1.275
06,Июнь,ALL,import_total,3.779,,17.076
06,Июнь,ALL,export_total,0.735,,4.925
06,Июнь,ALL,balance,3.044,,12.151
07,Июль,5603139000,import,1.778,,11.235
07,Июль,5603149000,import,1.156,,8.775
07,Июль,5603139000,export,0.522,,4.172
07,Июль,5603149000,export,0.202,,1.478
07,Июль,ALL,import_total,2.934,,20.010
07,Июль,ALL,export_total,0.724,,5.650
07,Июль,ALL,balance,2.210,,14.360
08,Август,5603139000,import,1.977,,13.212
08,Август,5603149000,import,1.527,,10.302
08,Август,5603139000,export,0.411,,4.583
08,Август,5603149000,export,0.135,,1.613
08,Август,ALL,import_total,3.504,,23.514
08,Август,ALL,export_total,0.546,,6.196
08,Август,ALL,balance,2.958,,17.318
09,Сентябрь,5603139000,import,1.778,,14.990
09,Сентябрь,5603149000,import,1.070,,11.372
09,Сентябрь,5603139000,export,0.729,,5.312
09,Сентябрь,5603149000,export,0.257,,1.870
09,Сентябрь,ALL,import_total,2.848,,26.362
09,Сентябрь,ALL,export_total,0.986,,7.182
09,Сентябрь,ALL,balance,1.862,,19.180
10,Октябрь,5603139000,import,1.726,,16.716
10,Октябрь,5603149000,import,1.398,,12.770
10,Октябрь,5603139000,export,0.696,,6.008
10,Октябрь,5603149000,export,0.497,,2.367
10,Октябрь,ALL,import_total,3.124,,29.486
10,Октябрь,ALL,export_total,1.193,,8.375
10,Октябрь,ALL,balance,1.931,,21.111
11,Ноябрь,5603139000,import,1.623,,18.339
11,Ноябрь,5603149000,import,0.997,,13.767
11,Ноябрь,5603139000,export,0.545,,6.553
11,Ноябрь,5603149000,export,0.240,,2.607
11,Ноябрь,ALL,import_total,2.620,,32.106
11,Ноябрь,ALL,export_total,0.785,,9.160
11,Ноябрь,ALL,balance,1.835,,22.946
12,Декабрь,5603139000,import,1.069,,19.407
12,Декабрь,5603149000,import,1.183,,14.950
12,Декабрь,5603139000,export,0.443,,6.996
12,Декабрь,5603149000,export,0.046,,2.653
12,Декабрь,ALL,import_total,2.252,,34.358
12,Декабрь,ALL,export_total,0.489,,9.649
12,Декабрь,ALL,balance,1.763,,24.709
YEAR,Итого 2024,5603139000,import,19.407,5157,
YEAR,Итого 2024,5603149000,import,14.950,2704,
YEAR,Итого 2024,5603139000,export,6.996,2207,
YEAR,Итого 2024,5603149000,export,2.653,853,
YEAR,Итого 2024,ALL,import_total,34.358,7861,
YEAR,Итого 2024,ALL,export_total,9.649,3060,
YEAR,Итого 2024,ALL,balance,24.709,4801,
